Date,High,Low,Open,Close,Volume,Adj Close
2021-08-04,169.44400024414062,167.2779998779297,168.96749877929688,167.73599243164062,43678000.0,167.73599243164062
2021-08-05,169.4499969482422,167.04600524902344,167.81100463867188,168.79949951171875,48670000.0,168.79949951171875
2021-08-06,168.75,166.45199584960938,168.75,167.2469940185547,52752000.0,167.2469940185547
2021-08-09,167.74400329589844,166.42599487304688,167.1804962158203,167.093505859375,42964000.0,167.093505859375
2021-08-10,167.89999389648438,165.75,167.25050354003906,166.03399658203125,48252000.0,166.03399658203125
2021-08-11,166.88499450683594,163.88949584960938,166.57249450683594,164.60549926757812,58944000.0,164.60549926757812
2021-08-12,165.72549438476562,163.48350524902344,164.5,165.1750030517578,46282000.0,165.1750030517578
2021-08-13,165.30349731445312,164.14999389648438,165.2834930419922,164.69850158691406,41134000.0,164.69850158691406
2021-08-16,165.0,160.55650329589844,164.14999389648438,164.94949340820312,66394000.0,164.94949340820312
2021-08-17,164.02450561523438,161.28399658203125,163.875,162.09800720214844,67758000.0,162.09800720214844
2021-08-18,162.7050018310547,160.0,162.09950256347656,160.06100463867188,56086000.0,160.06100463867188
2021-08-19,161.64999389648438,159.1230010986328,159.7010040283203,159.3874969482422,75658000.0,159.3874969482422
2021-08-20,160.3905029296875,158.78799438476562,160.19349670410156,159.99749755859375,67168000.0,159.99749755859375
2021-08-23,164.0449981689453,160.50050354003906,160.59500122070312,163.2935028076172,65362000.0,163.2935028076172
2021-08-24,165.77450561523438,163.72900390625,164.0,165.28900146484375,51036000.0,165.28900146484375
2021-08-25,166.0500030517578,164.3074951171875,165.49349975585938,164.95899963378906,33606000.0,164.95899963378906
2021-08-26,166.60000610351562,164.8000030517578,164.9499969482422,165.8000030517578,41976000.0,165.8000030517578
2021-08-27,167.61599731445312,165.6875,166.6614990234375,167.48150634765625,48048000.0,167.48150634765625
2021-08-30,172.25,167.76100158691406,167.8715057373047,171.07850646972656,63844000.0,171.07850646972656
2021-08-31,173.62899780273438,169.7794952392578,171.24000549316406,173.5395050048828,87128000.0,173.5395050048828
2021-09-01,176.35000610351562,173.76199340820312,174.82000732421875,173.9499969482422,72598000.0,173.9499969482422
2021-09-02,175.59800720214844,172.75,174.73800659179688,173.156005859375,58474000.0,173.156005859375
2021-09-03,174.1334991455078,171.82200622558594,172.60000610351562,173.90249633789062,51514000.0,173.90249633789062
2021-09-07,176.4044952392578,173.8470001220703,173.89999389648438,175.46449279785156,54758000.0,175.46449279785156
2021-09-08,177.281494140625,174.7834930419922,175.58250427246094,176.27499389648438,61068000.0,176.27499389648438
2021-09-09,177.49949645996094,174.01849365234375,176.30099487304688,174.20799255371094,54384000.0,174.20799255371094
2021-09-10,175.42250061035156,173.14549255371094,175.0915069580078,173.45750427246094,47946000.0,173.45750427246094
2021-09-13,174.8979949951172,171.89999389648438,174.13999938964844,172.85850524902344,51380000.0,172.85850524902344
2021-09-14,174.3404998779297,171.885498046875,173.77749633789062,172.5,38738000.0,172.5
2021-09-15,174.27099609375,170.10049438476562,172.12600708007812,173.7895050048828,59150000.0,173.7895050048828
2021-09-16,174.62750244140625,172.3070068359375,172.9980010986328,174.41200256347656,51672000.0,174.41200256347656
2021-09-17,174.87049865722656,172.60650634765625,174.42050170898438,173.12600708007812,92332000.0,173.12600708007812
2021-09-20,170.9499969482422,165.25050354003906,169.8000030517578,167.7864990234375,93382000.0,167.7864990234375
2021-09-21,168.98500061035156,166.6195068359375,168.75,167.18150329589844,55618000.0,167.18150329589844
2021-09-22,169.4499969482422,167.05250549316406,167.5500030517578,169.00250244140625,48228000.0,169.00250244140625
2021-09-23,171.447998046875,169.00250244140625,169.00250244140625,170.8000030517578,47588000.0,170.8000030517578
2021-09-24,171.46299743652344,169.6699981689453,170.10049438476562,171.2760009765625,42324000.0,171.2760009765625
2021-09-27,170.77850341796875,166.98049926757812,168.5749969482422,170.2899932861328,72690000.0,170.2899932861328
2021-09-28,168.45950317382812,164.5050048828125,167.885498046875,165.79800415039062,88616000.0,165.79800415039062
2021-09-29,167.56500244140625,164.89349365234375,166.10549926757812,165.05599975585938,51246000.0,165.05599975585938
2021-09-30,166.3925018310547,163.69949340820312,165.8000030517578,164.2519989013672,56848000.0,164.2519989013672
2021-10-01,165.45849609375,162.7969970703125,164.45050048828125,164.16299438476562,56712000.0,164.16299438476562
2021-10-04,163.99949645996094,158.8125,163.96949768066406,159.48899841308594,90462000.0,159.48899841308594
2021-10-05,163.0364990234375,160.1230010986328,160.22500610351562,161.0500030517578,65384000.0,161.0500030517578
2021-10-06,163.2169952392578,159.93099975585938,160.67649841308594,163.10049438476562,50660000.0,163.10049438476562
2021-10-07,166.28750610351562,164.1529998779297,164.57699584960938,165.1215057373047,48182000.0,165.1215057373047
2021-10-08,166.07150268554688,164.41000366210938,165.85000610351562,164.43099975585938,39964000.0,164.43099975585938
2021-10-11,164.62950134277344,161.90499877929688,163.75,162.31500244140625,40684000.0,162.31500244140625
2021-10-12,163.37649536132812,161.81399536132812,162.85000610351562,162.3665008544922,36392000.0,162.3665008544922
2021-10-13,164.41900634765625,163.05450439453125,163.48550415039062,164.21400451660156,48402000.0,164.21400451660156
2021-10-14,165.6300048828125,164.53900146484375,165.12249755859375,164.9929962158203,42190000.0,164.9929962158203
2021-10-15,170.52099609375,165.1999969482422,165.5709991455078,170.4510040283203,103598000.0,170.4510040283203
